Time,LeftRate,RightRate,EstX,EstY,EstTheta,GoalX,GoalY,GoalTheta,LeftVolt,RightVolt,LeftVelRef,RightVelRef,EstLeftVel,EstRightVel
4.487,2.5807,2.26979,0.882588,-0.0108492,-0.00901713,1.17167,0.0200582,0.0244871,12,12,4.60002,4.79989,2.45876,2.31745
4.492,1.98361,2.39319,0.894647,-0.0109543,-0.00871642,1.18675,0.0204297,0.0246303,12,12,4.62859,4.8291,2.57251,2.33
4.497,2.05299,2.37457,0.907026,-0.0110448,-0.00730642,1.20186,0.0208042,0.0247739,12,12,4.65799,4.85447,2.25225,2.40895
4.502,2.45874,2.29023,0.918795,-0.0111236,-0.00669715,1.21701,0.0211817,0.0249179,12,12,4.68923,4.885,2.17278,2.42762
4.507,2.3982,2.2743,0.930411,-0.011219,-0.00821531,1.23213,0.0215606,0.0250618,12,12,4.69569,4.89885,2.3896,2.38401
4.512,2.63113,2.42103,0.942464,-0.0113163,-0.00806638,1.24721,0.0219408,0.0252054,12,12,4.70305,4.9066,2.43509,2.35771
4.517,2.6146,2.42359,0.954565,-0.0114043,-0.00727185,1.26232,0.022324,0.0253495,12,12,4.73281,4.93493,2.59451,2.43751
4.523,2.3857,2.31923,0.967271,-0.0115028,-0.00775323,1.2774,0.0227086,0.0254935,12,12,4.73469,4.93984,2.64507,2.46943
4.527,2.40956,2.33699,0.980184,-0.0116229,-0.0093022,1.29252,0.0230962,0.025638,12,12,4.75395,4.9676,2.52469,2.41762
4.532,2.42616,2.23107,0.992663,-0.0117327,-0.00880113,1.3076,0.0234851,0.0257824,12,12,4.75948,4.97206,2.49348,2.40874
4.537,2.36475,2.22565,1.00504,-0.0118274,-0.00764623,1.32265,0.0238754,0.0259268,12,12,4.76675,4.97547,2.49154,2.34086
4.542,2.48139,2.53779,1.01724,-0.0119304,-0.00844366,1.33773,0.0242687,0.0260717,12,12,4.79216,5.00623,2.45336,2.31165
4.547,2.35019,2.49491,1.02927,-0.0120456,-0.00957453,1.35278,0.0246633,0.0262167,12,12,4.79583,5.01574,2.51043,2.49087
4.552,2.6146,2.41719,1.0419,-0.0121598,-0.00904027,1.36786,0.025061,0.0263622,12,12,4.82199,5.04168,2.45219,2.53267
4.558,2.62209,2.5807,1.05449,-0.0122713,-0.00886183,1.38291,0.0254601,0.0265078,12,12,4.8255,5.04547,2.591,2.50165
4.562,2.77801,2.62811,1.06735,-0.0124018,-0.0101462,1.39793,0.0258603,0.0266534,12,12,4.82329,5.04976,2.64859,2.58953
4.568,2.71218,2.49355,1.08057,-0.0125428,-0.0106673,1.41298,0.0262638,0.0267998,12,12,4.84332,5.07412,2.76558,2.65209
4.573,2.68042,2.59828,1.09425,-0.0126795,-0.00999101,1.42799,0.0266685,0.0269462,12,12,4.84101,5.07001,2.76974,2.59384
4.578,2.84358,2.62811,1.10779,-0.0128081,-0.00949417,1.44304,0.0270763,0.0270933,12,12,4.86171,5.09073,2.75213,2.63544
4.583,2.84712,2.36231,1.1214,-0.0129532,-0.0106678,1.45806,0.0274855,0.0272406,12,12,4.85523,5.09031,2.84489,2.6697
4.588,2.90309,2.52937,1.13532,-0.0131093,-0.0112108,1.47304,0.0278959,0.027388,12,12,4.84793,5.0864,2.88186,2.52085
4.593,2.53077,2.53779,1.14896,-0.0132478,-0.0101518,1.48806,0.0283095,0.0275362,12,12,4.86948,5.10564,2.93023,2.56615
4.598,2.57345,2.41464,1.16284,-0.0133784,-0.00940908,1.50304,0.0287243,0.0276845,12,12,4.86564,5.09972,2.72186,2.58787
4.603,2.47335,2.37457,1.17624,-0.0135106,-0.00986432,1.51804,0.029142,0.0278336,12,12,4.88011,5.11807,2.66845,2.52111
4.608,2.6146,2.37457,1.18935,-0.013636,-0.00956584,1.53301,0.029561,0.0279829,12,12,4.87955,5.11731,2.58708,2.47113
4.613,2.5778,2.48408,1.20212,-0.0137451,-0.00854486,1.548,0.0299828,0.028133,12,12,4.90147,5.13685,2.64217,2.45234
4.618,2.45084,2.66327,1.21498,-0.0138639,-0.00923624,1.56295,0.0304058,0.0282833,12,12,4.89962,5.139,2.64088,2.51187
4.623,2.748,2.66327,1.22799,-0.0139997,-0.0104379,1.57793,0.0308317,0.0284344,12,12,4.91452,5.16101,2.56338,2.64343
4.628,2.34058,2.62811,1.24114,-0.0141269,-0.00967475,1.59287,0.0312589,0.0285857,12,12,4.91439,5.15871,2.71499,2.69392
4.633,2.84358,2.72997,1.2548,-0.0142549,-0.00936815,1.60783,0.0316889,0.0287379,12,12,4.92924,5.17427,2.52439,2.69104
4.638,2.7154,2.69621,1.26796,-0.0144026,-0.0112158,1.62275,0.0321202,0.0288904,12,12,4.92215,5.17613,2.75852,2.7528
4.643,2.96513,2.66018,1.28188,-0.0145725,-0.0122152,1.63768,0.032554,0.0290436,12,12,4.92713,5.18723,2.7694,2.75557
4.648,2.68042,2.92909,1.29583,-0.0147436,-0.0122632,1.65258,0.0329891,0.0291972,12,12,4.91954,5.18095,2.9256,2.73511
4.653,2.82952,2.75461,1.31012,-0.0149218,-0.0124696,1.66751,0.0334275,0.0293518,12,12,4.93422,5.19893,2.81199,2.8907
4.658,2.90862,2.84182,1.32452,-0.0151062,-0.0128029,1.68241,0.0338671,0.0295068,12,12,4.92323,5.19048,2.85939,2.84378
4.663,2.91232,2.82603,1.33892,-0.0152776,-0.0119016,1.69731,0.0343093,0.0296626,12,12,4.93003,5.19535,2.92572,2.87922
4.668,3.20375,2.75959,1.35357,-0.0154332,-0.0106164,1.71218,0.0347528,0.0298188,12,12,4.92128,5.18224,2.95317,2.8831
4.674,3.27012,2.95175,1.36831,-0.0156047,-0.0116375,1.72708,0.0351996,0.0299761,12,12,4.93129,5.19902,3.14102,2.84462
4.679,2.86673,2.96898,1.38342,-0.0157969,-0.0127179,1.74195,0.0356478,0.0301339,12,12,4.91379,5.18723,3.25316,2.94723
4.684,3.14434,3.1229,1.39908,-0.0159809,-0.0117552,1.7568,0.036098,0.0302924,12,12,4.9081,5.17912,3.05014,2.99607
4.689,3.13788,2.85778,1.41434,-0.0161409,-0.0104772,1.77166,0.0365504,0.0304516,12,12,4.90547,5.17271,3.14236,3.1088
4.694,2.9767,3.12716,1.43013,-0.0163114,-0.0108031,1.7865,0.0370049,0.0306117,12,12,4.89563,5.16589,3.17305,2.99017
4.699,2.90493,3.22406,1.44569,-0.0164766,-0.0106184,1.80133,0.0374616,0.0307725,12,12,4.88836,5.15948,3.08696,3.10891
4.704,3.01592,2.95366,1.46133,-0.0166153,-0.0088656,1.81616,0.0379204,0.0309342,12,12,4.88458,5.14991,3.01073,3.21291
4.709,3.14219,1.79677,1.47705,-0.0167535,-0.00879592,1.83097,0.0383809,0.0310965,12,12,4.87085,5.13722,3.04894,3.08789
4.714,3.10384,2.66327,1.49254,-0.0169153,-0.0104395,1.84581,0.0388451,0.0312601,12,12,4.87473,5.15054,3.13833,2.33589
4.719,2.86493,3.1639,1.50636,-0.0170678,-0.0110324,1.86061,0.0393105,0.0314243,12,12,4.86539,5.14482,3.15017,2.57785
4.724,2.64634,2.94605,1.52082,-0.0172072,-0.00963963,1.8754,0.0397776,0.0315893,12,12,4.86217,5.13709,3.01009,2.97437
4.729,2.71218,2.69621,1.53593,-0.0173553,-0.00979945,1.89022,0.0402484,0.0317556,12,12,4.87212,5.15027,2.82347,2.99195
4.734,2.99227,2.69621,1.55062,-0.0175144,-0.010833,1.905,0.0407204,0.0319225,12,12,4.85629,5.13991,2.79221,2.84649
4.74,2.84358,2.94795,1.56485,-0.0176675,-0.0107535,1.91974,0.0411937,0.0320901,12,12,4.84547,5.12983,2.95089,2.79167
4.744,2.84358,2.69621,1.57935,-0.0178265,-0.0109703,1.93452,0.0416707,0.0322591,12,12,4.85883,5.14676,2.92105,2.92398
4.749,2.9767,2.9613,1.59411,-0.018008,-0.0122985,1.94927,0.042149,0.0324288,12,12,4.84129,5.13592,2.90932,2.82092
4.754,3.07053,2.89026,1.60858,-0.0181931,-0.0127932,1.96402,0.04263,0.0325996,12,12,4.84327,5.14207,2.98637,2.94344
4.76,3.07053,2.94038,1.62355,-0.0183618,-0.0112643,1.97873,0.0431123,0.0327711,12,12,4.83151,5.125,3.07274,2.94693
4.765,2.81214,2.82254,1.63875,-0.0185303,-0.0110904,1.99348,0.0435985,0.0329443,12,12,4.84178,5.13727,3.10565,2.97882
4.769,2.78986,3.0319,1.65411,-0.0187141,-0.0119603,2.00819,0.0440859,0.0331181,12,12,4.82151,5.12177,2.96057,2.91873
